,Words of Interest,Frequency
0,development,1120
1,people,755
2,countries,653
3,peace,614
4,government,491
5,international,474
6,china,470
7,investment,437
8,political,402
9,india,394
10,trade,390
11,constitution,283
12,climate,201
13,tourism,171
14,democracy,169
15,technology,160
16,poverty,151
17,energy,138
18,cultural,134
19,education,121
20,health,118
21,conflict,118
22,economy,112
23,labour,100
24,environment,92
25,agriculture,78
26,terrorism,56
27,transport,47
28,violence,42
29,corruption,12
30,crime,10
31,economics,6
32,human rights,356
33,nepal china,143
34,sustainable development,127
35,economic development,108
36,nepal india,108
37,foreign policy,99
38,cross border,84
39,migrant workers,73
40,bilateral relations,45
41,south asia,41
42,world peace,40
43,visit nepal,40
44,social security,38
45,peace stability,38
46,political stability,35
47,international peace,31
48,natural resources,31
